Date,LONN.SW,SIKA.SW
2023-10-02,435.4269039329765,233.3020495941969
2023-10-03,458.57627787171197,243.13365279913126
2023-10-04,437.11053773327035,240.96150906325585
2023-10-05,430.18626954466805,237.3920412046604
2023-10-06,426.50712285892024,232.81327695176975
2023-10-09,416.56303274500544,228.86098986232884
2023-10-10,422.992540772648,232.22441876092992
2023-10-11,443.69722498483804,240.99859945942262
2023-10-12,447.5553802459341,237.70370816266706
2023-10-13,439.8960972320088,234.1364045003765
2023-10-16,438.30964344287946,238.76158001946953
2023-10-17,453.601558588945,237.17650864038828
2023-10-18,453.2591825646227,233.01386060252764
2023-10-19,461.76362450022174,235.1534133968417
2023-10-20,468.22288817132744,241.1121040763863
2023-10-23,468.305209596181,243.45139024753615
2023-10-24,463.6529275933183,242.7836992328147
2023-10-25,470.3954737065655,241.20979284181928
2023-10-26,475.00207525234424,234.00745296859955
2023-10-27,480.61683998880375,239.93980946586908
2023-10-30,491.4804116059108,245.47931659025227
2023-10-31,491.96836596520967,248.76418855292314
2023-11-01,498.89839804299487,255.49795560434237
2023-11-02,516.8092059482694,260.81560594842097
2023-11-03,509.03599727688953,268.71297899488104
2023-11-06,510.4107910166459,263.58702497945455
2023-11-07,506.5087178780628,257.0852215275994
2023-11-08,496.7171745595723,257.674188265477
2023-11-09,493.40404566098846,254.1834878165437
2023-11-10,502.54481672159704,256.80382682482093
2023-11-13,492.41883570578716,248.83904392167696
2023-11-14,489.1202532715493,251.16507230972985
2023-11-15,474.94234000555764,246.2393081735404
2023-11-16,485.51907341752576,245.00357997429302
2023-11-17,489.49004457408796,237.30843642646948
2023-11-20,493.5248050546293,236.29444990939112
2023-11-21,496.1274911338025,246.69890914076146
2023-11-22,499.4159126346167,241.27151198924523
2023-11-23,497.0478694462251,242.09817904243826
2023-11-24,491.0249121102659,237.64383439133834
2023-11-27,491.7768769324557,235.86188520178317
2023-11-28,482.10154459680274,232.84170665261757
2023-11-29,478.8213505063918,224.48179152255554
2023-11-30,466.6266845725391,217.55129338345353
2023-12-01,472.3232655077584,217.9017229844218
2023-12-04,469.79966461161337,220.7843920418671
2023-12-05,463.41846284588974,218.6794916655697
2023-12-06,460.8938828447887,221.32362829395464
2023-12-07,454.29113574945086,223.94917376575623
2023-12-08,454.0426004535604,224.16475073577362
2023-12-11,469.8812055418637,227.99544679799345
2023-12-12,470.21320463842795,227.06161857620776
2023-12-13,464.22448799150743,226.78964240581635
2023-12-14,442.1749401774909,224.0480993933569
2023-12-15,463.4357228954555,228.61496181192177
2023-12-18,460.0201293723671,233.05021625925255
2023-12-19,451.44522878309886,230.22704739182038
2023-12-20,450.7700469873962,225.73621540812033
2023-12-21,449.7423871872506,227.8902096650284
2023-12-22,459.7858303801699,235.29466302273713
2023-12-27,473.70985341846034,239.62977691437956
2023-12-28,485.2908177893598,242.96900750789553
2024-01-03,472.46807424222897,236.67540228638913
2024-01-04,474.12525566103795,236.20978927678644
2024-01-05,480.03361359512564,236.4998184729259
2024-01-08,477.06578384165704,239.07817013225457
2024-01-09,468.2975754765575,233.93168951596843
2024-01-10,456.4448842399944,224.77791819504512
2024-01-11,468.133102775986,224.1541828759704
2024-01-12,466.8182448741926,227.80401105431548
2024-01-15,477.44002889737646,229.17224237072392
2024-01-16,465.0539316112076,221.91027912052036
2024-01-17,479.5194294502609,223.10870808572662
2024-01-18,468.8163558846767,218.59929736146591
2024-01-19,459.16293866632736,217.06755492424844
2024-01-22,450.6890338401601,212.52656194362007
2024-01-23,463.4338060855,218.99820194149487
2024-01-24,475.10677466941377,219.08179421897296
2024-01-25,459.4994572920278,214.86642127246583
2024-01-26,463.7958017083764,215.97416489569164
2024-01-29,448.0090041514566,214.67422495154986
2024-01-30,454.7654702986887,214.64340024161928
2024-01-31,460.2425560707265,213.3481480386114
2024-02-01,445.84086068483697,206.8910999490404
2024-02-02,458.3055124815205,204.63998851491894
2024-02-05,471.15693239881654,209.97014394955423
2024-02-06,461.9137149008126,214.77927218191488
2024-02-07,452.83597676962376,207.22371562028056
2024-02-08,458.59226443986313,209.1788419485895
2024-02-09,471.50319868297356,211.25049032528568
2024-02-12,463.677466202394,206.98939774386108
2024-02-13,481.5253534664804,209.93423086521764
2024-02-14,472.30220547064937,205.96560504391243
2024-02-15,486.11870880533974,207.81407102680876
2024-02-16,489.3503869952246,212.63985004664184
2024-02-19,514.2514236671914,211.04446987966844
2024-02-20,506.8348578401104,211.42056904192813
2024-02-21,494.43211319665124,208.32637736606569
2024-02-22,479.8442162477754,206.38983186689373
2024-02-23,473.6121921837087,204.37074709194698
2024-02-26,469.285597722243,208.49286910564737
2024-02-27,466.48121858230513,209.3259173136994
2024-02-28,476.78937088392985,213.13004950722998
2024-02-29,474.14676107426703,209.03900984445846
2024-03-01,483.1340445999126,214.14706275925136
2024-03-04,496.44517592809854,221.78578607768512
2024-03-05,498.8612119319678,221.69116259514666
2024-03-06,502.2742640470001,227.15713912566832
2024-03-07,514.3565956534568,232.6850464135712
2024-03-08,532.5922643888462,235.59866014257213
2024-03-11,536.1808310485801,233.98568540504354
2024-03-12,546.9154525857456,236.11590013678713
2024-03-13,560.1005934890652,240.3335798036915
2024-03-14,568.5501118809206,240.83541922341252
2024-03-15,580.8043080994568,239.913661114892
2024-03-18,575.7585441784504,243.9021444698079
2024-03-19,581.2387254889829,246.57329003191464
2024-03-20,592.1488951030796,250.69894262315626
2024-03-21,599.5581864806381,250.48769189851615
2024-03-22,603.6144431677176,249.76104397503363
2024-03-25,584.0875661359092,248.15768870659
