Date,LONN.SE_0,SIKA.SE_0
2023-10-31,316.44828781057373,213.0736151719287
2023-11-01,317.47732445790746,207.9255274421404
2023-11-02,324.7911819112629,203.9627341671675
2023-11-03,319.06881139594856,195.16448370269396
2023-11-06,319.7946456110486,188.6198617454355
2023-11-07,309.70033620958526,185.49270475407238
2023-11-08,311.26420295364505,173.19764760688207
2023-11-09,312.29500307745656,167.6508492760162
2023-11-10,314.4041018225102,165.68256680053582
2023-11-13,337.4962430313093,173.30342531217187
2023-11-14,336.17712847793047,165.47431216966945
2023-11-15,352.7102277742029,167.89491464318374
2023-11-16,360.91298850941706,174.19189535055932
2023-11-17,387.5264598237015,169.59722218316512
2023-11-20,393.31222750435063,169.06535792015785
2023-11-21,400.2378043753157,166.08610087639246
2023-11-22,391.2728724607298,167.3485028576769
2023-11-23,383.82478409791764,169.1051355358495
2023-11-24,395.0164873273295,172.63887661633913
2023-11-27,392.501644086918,173.85606493669658
2023-11-28,384.0157612884787,165.38503732750564
2023-11-29,385.4293130562565,170.83187380447728
2023-11-30,388.5689740637487,171.09831630816646
2023-12-01,392.83279652296414,175.77892899128193
2023-12-04,398.08968161794644,179.4212181220791
2023-12-05,387.1027484366814,183.55952847302925
2023-12-06,374.4305143842316,181.032225929902
2023-12-07,368.63890137341474,175.51980893274813
2023-12-08,381.09705482382003,182.54068388961858
2023-12-11,373.5592713036346,177.0933242973647
2023-12-12,388.13050306074575,181.30809659954235
2023-12-13,378.94880248369594,181.73713367158317
2023-12-14,378.0273610337692,187.1401410086477
2023-12-15,380.98059681418647,185.0637201402145
2023-12-18,356.1904630668153,181.18391940716523
2023-12-19,355.35346848289714,177.27610727437363
2023-12-20,352.6019312625185,171.71947185308545
2023-12-21,359.08190899161025,179.51546924893154
2023-12-22,374.4586480617756,184.81968923071815
2023-12-27,369.062143121849,191.31438538219362
2023-12-28,380.087780799411,190.07069887992182
2024-01-03,371.7052023688135,182.46203278184495
2024-01-04,360.68815482044363,179.4638221911983
2024-01-05,371.90658866882467,183.46343004142727
2024-01-08,372.0856800441442,181.25375759247606
2024-01-09,380.07561963275134,181.31773569210313
2024-01-10,374.27220688994214,173.34126680911587
2024-01-11,366.7270638918892,170.75737907193545
2024-01-12,367.5348285574091,170.63464600295333
2024-01-15,370.82268725188226,171.59061192498416
2024-01-16,362.30500431137267,164.50859155802695
2024-01-17,357.2107746184931,161.19293863962895
2024-01-18,372.72375712530504,161.2057158693891
2024-01-19,379.9766508310776,160.09845560836612
2024-01-22,382.9039896370945,159.81183730117257
2024-01-23,390.3681524972296,161.9857480393584
2024-01-24,398.9358591652189,161.36153349196957
2024-01-25,388.3840571112678,153.78599281244163
2024-01-26,386.40466545007433,149.97772940107726
2024-01-29,372.0428072642879,150.24178719957783
2024-01-30,371.1465336651992,150.6144959137361
2024-01-31,368.4857740185628,150.62044746445324
2024-02-01,371.84438337049187,152.2852399888172
2024-02-02,370.75110249123975,152.80427906252496
2024-02-05,365.9966566698383,147.15018527188934
2024-02-06,368.83088801640235,148.33354241996489
2024-02-07,374.4906504161499,154.29772147759908
2024-02-08,375.39744559385946,155.2534806423753
2024-02-09,372.7126267603373,154.5158257768369
2024-02-12,366.21583288743085,152.21368589749122
2024-02-13,362.1767006446886,152.06266250675242
2024-02-14,373.09251048474704,150.77893447002813
2024-02-15,369.127344783105,151.8176302875003
2024-02-16,366.7768607149519,151.04645055656025
2024-02-19,377.59557761933513,149.40809188338247
2024-02-20,374.6594336497805,152.0964939001277
2024-02-21,367.74621983327586,151.26689896992275
2024-02-22,368.026384494138,151.06880430662392
2024-02-23,367.99962945344095,148.75709268705225
2024-02-26,369.5614755493789,149.02626986444014
2024-02-27,361.1543863289148,144.0220299044943
2024-02-28,368.61823142618465,145.95604844483464
2024-02-29,362.63401230220927,142.82760988245866
2024-03-01,358.6198376368464,142.04450479653494
2024-03-04,370.53462038961015,142.89565791646083
2024-03-05,369.2428994505554,142.975098375434
2024-03-06,370.4113518264162,146.21712592317118
2024-03-07,378.6808140489776,146.60290695795584
2024-03-08,374.8688095626577,144.44212730149067
2024-03-11,380.823949142003,146.1693077063954
2024-03-12,378.7209904580747,144.91218935509244
2024-03-13,377.25184053613515,146.93449636438137
2024-03-14,377.76618061138504,144.89572771799703
2024-03-15,376.818451352501,144.8279697800797
2024-03-18,373.93476399978874,144.1831912145576
2024-03-19,376.2454760006906,144.6601484346156
2024-03-20,384.2384596025264,143.71262800689263
2024-03-21,380.2472366279305,141.01862099312797
