Date,LONN.SE,SIKA.SE
2023-09-08,523.32241715388,255.96779662989573
2023-09-11,508.9918479031818,247.33091574337894
2023-09-12,501.98018330687995,242.05623088616875
2023-09-13,496.89283502140154,246.56438977188196
2023-09-14,492.0706272458665,247.57440323736733
2023-09-15,485.2719191764252,241.18900648081507
2023-09-18,450.1204865430381,232.96207526253454
2023-09-19,436.8680659436758,235.7446924063202
2023-09-20,419.6099953801381,245.78220494736124
2023-09-21,428.38823437234663,244.79663314891025
2023-09-22,422.3544641289235,245.93797236974964
2023-09-25,432.50853067012304,250.46868691725314
2023-09-26,429.5097883221021,255.7871882471283
2023-09-27,436.21049568449223,263.0412018410711
2023-09-28,427.2521681307302,257.3669306709171
2023-09-29,430.6803193793764,263.3729406567834
2023-10-02,436.15574193369036,271.5529006816624
2023-10-03,435.96807762389574,267.12608296857303
2023-10-04,409.54759695193246,261.16331494287465
2023-10-05,419.6721827189422,266.0649027593669
2023-10-06,418.0026976073158,262.5099455529763
2023-10-09,399.74742211861263,257.8924896644066
2023-10-10,414.20672829967947,253.88225819979917
2023-10-11,414.60197184631403,270.6737168767248
2023-10-12,434.737437397601,263.60119722204064
2023-10-13,435.17491195788716,277.66627290782185
2023-10-16,409.39467260537424,266.88353674444767
2023-10-17,397.243261945669,274.2187416127723
2023-10-18,388.6997475057078,276.6157205184327
2023-10-19,398.51188748568705,275.6176477148627
2023-10-20,382.37716197865603,269.45726807953054
2023-10-23,400.47251599075764,268.8089841295238
2023-10-24,390.9380785324663,258.6550693864179
2023-10-25,406.159385169258,264.17950926991404
2023-10-26,417.28168520533734,261.0928040375222
2023-10-27,409.09154983054617,254.3634125867026
2023-10-30,399.0132446526606,246.1504412901612
2023-10-31,411.48038905503626,255.39058070023586
2023-11-01,410.44508003927245,246.10004393379504
2023-11-02,410.612195355339,243.08332119575562
2023-11-03,406.9817255883944,241.68074265370726
2023-11-06,410.60353761112816,240.8975674412686
2023-11-07,398.39158150669215,233.99452486204189
2023-11-08,387.79276182804693,225.38812466013493
2023-11-09,393.50063463176156,221.8514976379393
2023-11-10,403.5641150680123,224.0084346401057
2023-11-13,393.58410586835345,222.64371592314828
2023-11-14,398.2434379159385,216.58116657121636
2023-11-15,397.12737744115447,200.03520050276452
2023-11-16,387.0920208890496,208.71742061922592
2023-11-17,392.28994143834046,209.419816209664
2023-11-20,388.8362124885147,216.62179075264277
2023-11-21,376.24046331155665,206.30392862150987
2023-11-22,360.2924835835582,212.49887240980055
2023-11-23,376.1540303007727,221.8606838577203
2023-11-24,386.7788454122671,242.5883952258828
2023-11-27,383.3469780943615,239.5038053964786
2023-11-28,386.30754403621273,232.89608458409757
2023-11-29,400.23153004060964,242.55734375210753
2023-11-30,402.36359941769507,234.02988020094799
2023-12-01,392.65144103460005,217.1780878157327
2023-12-04,407.5933443697811,217.345024733598
2023-12-05,422.0076624347725,229.1201949332943
2023-12-06,418.6612423372197,218.9649307912762
2023-12-07,417.32268365786825,204.34627859521578
2023-12-08,433.0243815726951,205.97596688254987
2023-12-11,414.05978075187824,201.25949985064568
2023-12-12,417.8608381871906,212.98854121567288
2023-12-13,436.225697951007,219.92449891666448
2023-12-14,435.700977743812,223.79487318186366
2023-12-15,433.54354454845776,227.64084714940464
2023-12-18,426.4802346919525,237.36545750186104
2023-12-19,428.21679849601975,244.4580924208488
2023-12-20,434.10872335972175,247.10123969391987
2023-12-21,450.72787248411777,261.6225865366129
2023-12-22,450.7996987768937,270.8341106847067
2023-12-27,461.51095903133137,287.87673430041224
2023-12-28,474.26138861406844,295.8756212577775
2024-01-03,478.80713557344956,290.6367560195938
2024-01-04,463.99481658103895,287.3881505622372
2024-01-05,449.7150182886,276.0323085447036
2024-01-08,460.1918665688029,285.0797287366773
2024-01-09,455.67496076618596,275.72651265946945
2024-01-10,449.2966565547622,267.7395109084662
2024-01-11,445.54219169346607,272.9536591427862
2024-01-12,447.67248080616395,269.17771944092027
2024-01-15,465.4819657488626,275.4806281696632
2024-01-16,458.72636756409906,281.19179338244305
2024-01-17,453.8951145532475,283.72111330771247
2024-01-18,443.5706147103217,287.9573074460678
2024-01-19,443.09164259232676,291.9084799784923
2024-01-22,429.6325286944963,292.3622050662893
2024-01-23,431.16180513849037,283.3253240945551
2024-01-24,436.0321817169498,288.6221561393885
2024-01-25,428.395679499483,279.4010954348957
2024-01-26,430.35279535783354,278.3195277739145
2024-01-29,424.762214185609,268.46236850691713
2024-01-30,406.41885889563696,258.24788968620857
2024-01-31,413.0101149011963,263.7659000633993
2024-02-01,402.8631874307373,259.64985915883494
2024-02-02,412.4529331839126,267.858286477656
2024-02-05,419.24377424782165,273.866346449449
2024-02-06,417.11732325570574,283.4617559627986
2024-02-07,417.6083492730922,288.59709921004617
2024-02-08,413.56360806171574,286.7796367846339
2024-02-09,413.0051358899203,278.6768242510766
2024-02-12,409.4295849496964,271.72928746788426
2024-02-13,407.24193999123,263.23665692774716
2024-02-14,403.9672845217405,262.58173331492793
2024-02-15,406.4637950112908,262.2468160530595
2024-02-16,409.8064958942919,252.52721263894944
2024-02-19,418.0442341886063,267.717357593147
2024-02-20,411.79791379964894,262.4655531995238
2024-02-21,419.6847107376975,262.0451279009365
2024-02-22,413.06440066372403,261.95121575396604
2024-02-23,414.59464769003756,256.45681820546207
2024-02-26,424.138287369685,260.1145630994735
2024-02-27,419.96768405454264,241.28864633579798
2024-02-28,415.01115175496017,241.50572757130575
2024-02-29,421.37056304059473,243.8819313425845
2024-03-01,420.6484599172102,240.147716712373
