Date,LONN.SE_0,SIKA.SE_0
2023-08-31,492.27865393393705,247.02934172313215
2023-09-01,481.7436351763067,242.5932936688947
2023-09-04,503.4026964469628,245.40494140360943
2023-09-05,526.1652981977919,245.09223213373014
2023-09-06,514.8621722685582,246.02996575371586
2023-09-07,522.6498493531965,247.40867674135174
2023-09-08,513.0339732726898,238.66817966199795
2023-09-11,520.0664837125191,242.09291240895945
2023-09-12,516.9840029079998,238.94289344899036
2023-09-13,507.43315138395263,235.79744521151235
2023-09-14,495.2992248518282,230.56626866233267
2023-09-15,491.2559308876179,228.04812479732513
2023-09-18,476.5943194444785,229.41940669073728
2023-09-19,480.5777349899493,232.543068459245
2023-09-20,470.72133567763836,235.5374328000773
2023-09-21,482.01486174228864,238.48225218645135
2023-09-22,481.34164199719066,237.7133204473552
2023-09-25,493.45761234421366,236.7144899523424
2023-09-26,488.65977005371474,236.33894686841302
2023-09-27,472.51411784679783,236.56532969801611
2023-09-28,466.7281924967798,232.1467134774332
2023-09-29,469.0440182794957,235.2555271856648
2023-10-02,464.87958960061997,234.26383910786944
2023-10-03,463.74884285709646,229.6669616894257
2023-10-04,464.3837009742755,232.3578808858793
2023-10-05,479.68106761877107,229.45574295230466
2023-10-06,475.18919587764606,229.9304083333437
2023-10-09,481.017015431982,229.04303685262192
2023-10-10,478.69053412507174,224.67677327425838
2023-10-11,464.6036881629127,220.66001510092588
2023-10-12,452.91614610553853,217.05738374710972
2023-10-13,459.4427558104151,221.46838682380405
2023-10-16,445.8712971361351,216.94783381392165
2023-10-17,458.1610401556414,220.7330197808931
2023-10-18,456.7482134144679,217.48679955945536
2023-10-19,441.0727554755528,218.3143400531155
2023-10-20,434.61911462357386,210.57798749992006
2023-10-23,415.8212231337903,204.55570705766507
2023-10-24,412.99244448630793,205.3979726242547
2023-10-25,431.233431346599,208.8387476520095
2023-10-26,426.3822641385316,205.14054850995186
2023-10-27,451.41267206825626,213.13052783717276
2023-10-30,469.2686064189998,215.67817325184072
2023-10-31,473.11440347904073,216.3868386992336
2023-11-01,483.76707399451055,217.03868492600506
2023-11-02,487.79146053298894,222.61942345986077
2023-11-03,513.7692305190454,226.1361560858012
2023-11-06,528.9046330260373,230.1433118524215
2023-11-07,543.4275997313731,232.3435255564458
2023-11-08,537.923026851974,241.26256837012747
2023-11-09,550.315101533945,246.89469239756815
2023-11-10,585.7839242828603,252.26822000311395
2023-11-13,588.0492795644262,256.03948495665924
2023-11-14,584.3476593233506,255.1599749177246
2023-11-15,596.0021751009955,259.54248262197376
2023-11-16,603.2507509670058,256.09454977902203
2023-11-17,587.0111189492834,248.78760245394773
2023-11-20,606.7242951806529,248.7747958818936
2023-11-21,612.394296295151,246.82102101852954
2023-11-22,604.635412282678,254.88948305821293
2023-11-23,611.9749713567413,252.88673374259352
2023-11-24,622.4706234304964,252.43837365061816
2023-11-27,633.2963749171105,250.84736233951907
2023-11-28,627.8549011634923,248.9362305240435
2023-11-29,616.438987219537,244.57372446555516
2023-11-30,614.9222352666278,248.1203129708587
2023-12-01,626.8138749791565,251.67053451531544
2023-12-04,624.6069128883313,252.14241478110048
2023-12-05,613.3659838653946,246.5178281199367
2023-12-06,592.9972636155368,246.52653647470817
2023-12-07,581.5769618414673,242.38029368570244
2023-12-08,589.3845220849411,241.60208283430617
2023-12-11,597.7376046183972,243.0184593570945
2023-12-12,619.9083034789278,243.62694836528843
2023-12-13,616.6749873064263,242.86380292358442
2023-12-14,619.1514593682651,248.0394865388892
2023-12-15,600.7248882295985,250.78858732130607
2023-12-18,600.8295072543272,251.55068325323944
2023-12-19,606.118072511407,257.32038857944445
2023-12-20,597.7493625553004,250.12992524592468
2023-12-21,604.4205700162458,249.4748592384284
2023-12-22,609.1588214818689,251.62712934929996
2023-12-27,610.4538545784187,253.2587051301996
2023-12-28,618.1016158895804,253.66274729951564
2024-01-03,633.4496854885266,258.5607975437952
2024-01-04,642.7221023947541,258.11751420214983
2024-01-05,626.8600848964409,262.53655583308233
2024-01-08,636.0966314354519,259.63424403604756
2024-01-09,649.1248879916585,262.1896810481409
2024-01-10,639.0404564200858,261.1013941039705
2024-01-11,637.9816798704458,263.6367180983646
2024-01-12,618.4432032952491,267.9995652813107
2024-01-15,615.7098586793684,267.7141911915096
2024-01-16,630.5023383847163,262.377241779748
2024-01-17,613.5445527323762,261.68442722757663
2024-01-18,620.0727443651406,267.6077869579172
2024-01-19,620.833941048775,269.2090396861385
2024-01-22,630.1481288988153,276.94694326077087
2024-01-23,640.0875069875493,273.47368332594573
2024-01-24,658.7080377013732,276.1519866081512
2024-01-25,650.6926339614149,273.1473361017894
2024-01-26,667.5439981726616,272.8686321522294
2024-01-29,710.3168150276795,282.62039638786194
2024-01-30,732.2547858415129,287.7689938095787
2024-01-31,739.4852357772432,287.6311495805039
2024-02-01,756.0934871728733,287.7054894248172
2024-02-02,762.3311902997069,290.93037250721505
2024-02-05,753.5190650574656,297.68743736217647
2024-02-06,750.7889020101013,297.6127271935739
2024-02-07,745.7981452758469,309.07334030604704
2024-02-08,726.4917262991422,308.3194906900535
2024-02-09,718.3740823840712,308.0825672261965
2024-02-12,729.7795271687891,314.0489630176861
2024-02-13,729.187049498146,308.5690566593352
2024-02-14,746.770492083911,302.88700113621644
2024-02-15,737.8685458050811,294.6334626348645
2024-02-16,711.3269967243516,291.3168469388892
2024-02-19,699.4571625923621,289.8499367272882
2024-02-20,695.3666457496789,286.8542056888819
2024-02-21,702.8329456354263,289.815183615995
2024-02-22,687.8732559297847,289.5684854264347
