Date,LONN.SE_0,SIKA.SE_0
2023-10-12,431.28009795519694,228.89917953903998
2023-10-13,433.2907848542092,238.74384488483798
2023-10-16,448.61334993257043,253.228145970624
2023-10-17,457.8379055520873,252.93201154956316
2023-10-18,464.80731544828853,250.2245673188864
2023-10-19,447.3621857676393,237.17696305675955
2023-10-20,462.07884374782793,246.16329056580992
2023-10-23,450.76214379328906,256.1444957800346
2023-10-24,439.99937573846836,258.5938018965716
2023-10-25,430.4567788549442,265.8035091183245
2023-10-26,451.7221365611975,274.5777375190797
2023-10-27,461.4928250226534,275.3548272029759
2023-10-30,455.3007060064486,276.9764869231938
2023-10-31,448.8323956757638,276.4155206940099
2023-11-01,434.09123224409194,276.51543711951064
2023-11-02,421.0437865848819,267.56083437041775
2023-11-03,409.81449172890694,273.95083761579633
2023-11-06,371.1253885634871,265.74963558175483
2023-11-07,363.7663192491528,277.1209112410163
2023-11-08,363.1304836169042,267.48187701166944
2023-11-09,338.6789708330601,269.1829874682141
2023-11-10,341.48554959889054,267.9674819627301
2023-11-13,369.42262581448637,271.8212270434049
2023-11-14,348.28372818421695,274.37398762787245
2023-11-15,321.0314163094681,270.5956697874116
2023-11-16,305.064436748728,285.4410643381693
2023-11-17,324.31357815193167,297.2288738307339
2023-11-20,338.2473325256148,292.27964894376163
2023-11-21,344.9013216917945,303.11788440799415
2023-11-22,330.21945250186246,305.6785076492662
2023-11-23,338.3197151474221,325.076050203566
2023-11-24,333.09393157232887,330.9515485789383
2023-11-27,326.6880250949831,323.4737183789832
2023-11-28,321.3659285354053,318.4586123081253
2023-11-29,314.53201710142145,314.6705619830876
2023-11-30,304.69143162247485,314.2952127642051
2023-12-01,311.26932916877263,331.9761240297102
2023-12-04,324.0381798306513,340.34402733940124
2023-12-05,333.13501565259077,354.4129132971281
2023-12-06,330.32546433026465,356.09092557633545
2023-12-07,346.2488273325121,356.42983201593114
2023-12-08,341.25743800315513,341.0620735472475
2023-12-11,334.04257509140166,343.54717924991047
2023-12-12,324.0417885368542,344.56654430131755
2023-12-13,324.1177553740121,326.957386758754
2023-12-14,320.2684242753848,337.269336163464
2023-12-15,325.38070357507655,336.92468245079857
2023-12-18,311.0848068142667,344.4096050169676
2023-12-19,311.15545838273863,350.1599903742297
2023-12-20,310.40660306325844,355.8166205087101
2023-12-21,325.17525879906026,360.156790524678
2023-12-22,316.06843697540154,350.01319100979794
2023-12-27,322.9668041577743,366.34524953791845
2023-12-28,333.9035043483484,367.18316867874796
2024-01-03,318.9600435052461,360.50400464012216
2024-01-04,329.7368018272943,375.99294249534734
2024-01-05,330.95297138354493,365.60238495214486
2024-01-08,309.92705941377176,360.2554971223184
2024-01-09,306.96096906983087,345.27008568434127
2024-01-10,296.3820360278474,337.0342407078943
2024-01-11,297.21670223102456,330.66212667923855
2024-01-12,304.5017645281775,326.4659279854641
2024-01-15,303.4825860784304,319.98780053272924
2024-01-16,299.67865316659083,327.9683046103401
2024-01-17,316.60665709495527,339.6658291325168
2024-01-18,333.08393369104925,339.65719340438136
2024-01-19,316.4957410245335,335.71170100520237
2024-01-22,312.7470774148479,342.8036397768254
2024-01-23,316.14903289285223,345.8221024199673
2024-01-24,310.40995362566713,347.6145448140272
2024-01-25,315.6342709387445,342.49679172990403
2024-01-26,306.8242283878362,341.52420867000666
2024-01-29,290.2634532159529,335.83593443327544
2024-01-30,297.6591133896999,338.8884718127976
2024-01-31,284.6970795952167,333.5484801385417
2024-02-01,282.28090428542043,337.027146801013
2024-02-02,285.2583439796069,336.0160757865467
2024-02-05,285.2995668229409,340.7277021665202
2024-02-06,299.2848509411945,333.01174640170564
2024-02-07,293.49993983208094,319.858481763021
2024-02-08,285.02575430453345,304.1071627167047
2024-02-09,291.9517910132796,302.2838574387675
2024-02-12,290.73346734132093,295.1182033988831
2024-02-13,278.18323578179763,278.3540138650637
2024-02-14,279.6279622696022,275.1467324992548
2024-02-15,273.97940755491385,274.57419334889966
2024-02-16,278.12314103897626,272.4642071174598
2024-02-19,268.9660806795265,274.1604524936228
2024-02-20,266.94602411861234,279.23915271132586
2024-02-21,255.66172737939115,273.7390457105971
2024-02-22,248.99541765244211,263.4532103747904
2024-02-23,246.6700312972827,262.3147837986044
2024-02-26,247.6537853671917,266.83200986601884
2024-02-27,243.8043725018303,277.3650813292984
2024-02-28,244.10414893480214,278.38050449759265
2024-02-29,242.86892601964718,274.8012669146975
2024-03-01,249.37167080975453,283.0906075473722
2024-03-04,252.30831369857376,292.53327739619203
2024-03-05,239.90976561241723,287.34402428426057
2024-03-06,226.52312615255488,277.3637312844774
2024-03-07,220.1676415322275,270.14121624493464
2024-03-08,210.0048517982179,263.84837972145397
2024-03-11,207.9749443989938,266.1320290397005
2024-03-12,206.2734564225078,263.06754654140934
2024-03-13,202.29290442868972,265.76965334533884
2024-03-14,207.0882337823728,270.2087993785612
2024-03-15,208.0745411628358,272.6071935471512
2024-03-18,206.5458063914612,271.10163334289024
2024-03-19,211.67221129889847,279.1553807645291
2024-03-20,219.16809386435503,288.3848363787774
2024-03-21,232.16956848759432,301.556565294925
2024-03-22,230.0445822350378,301.497698694178
2024-03-25,228.29700596374397,313.12960829495864
2024-03-26,227.47110238905438,314.44915242160914
2024-03-27,219.1320261957743,314.2073931485612
2024-03-28,217.07863316941652,302.6577549601288
2024-04-02,216.2450588756683,304.8842768640276
2024-04-03,215.14631915415717,302.05559736466387
2024-04-04,213.08844737725923,299.70966961661645
2024-04-05,210.92133702347834,291.167791432338
2024-04-08,210.0612037674147,293.4521106981942
