Date,LONN.SE_0,SIKA.SE_0,LONN.SE_1,SIKA.SE_1,LONN.SE_-1,SIKA.SE_-1
2023-08-21,401.3502248536341,239.77520223493332,402.20072331698145,240.74399093083204,400.49972639028664,238.80641353903462
2023-08-22,434.8562264494261,252.49979128354133,435.7777272471575,253.51999246044454,433.93472565169475,251.47959010663817
2023-08-23,413.0001664818678,265.8341058864603,413.8753522552983,266.90818308196117,412.12498070843725,264.7600286909595
2023-08-24,398.33481599208704,249.17936108449723,399.1789245235388,250.18614638180836,397.4907074606353,248.17257578718616
2023-08-25,416.36249482038204,259.9281948408778,417.2448056803532,260.97840976952784,415.4801839604109,258.87797991222783
2023-08-28,383.3019869959734,252.60069455051186,384.1142395643056,253.62130341738268,382.48973442764117,251.58008568364116
2023-08-29,374.8716797202597,263.09058401952956,375.66606768321844,264.15357627819435,374.0772917573009,262.0275917608648
2023-08-30,412.6937275084001,255.38607988350276,413.56826390913835,256.41794283252705,411.8191911076618,254.35421693447853
2023-08-31,389.220793166107,259.8079349560631,390.0455882353295,260.85766398618864,388.39599809688445,258.7582059259376
2023-09-01,365.9475827293142,243.42475631036115,366.72305970055663,244.40829067929195,365.1721057580717,242.44122194143043
2023-09-04,396.1503930801877,232.95446741846962,396.9898726162762,233.8956975898574,395.3109135440991,232.0132372470819
2023-09-05,388.69813328054477,260.87906791483016,389.52182078484765,261.9331247548901,387.87444577624177,259.82501107477026
2023-09-06,374.5694270128071,263.582926097636,375.3631744741608,264.6479076172225,373.7756795514534,262.51794457804965
2023-09-07,367.4666213731132,239.36963400144649,368.24531732855525,240.33678403781602,366.68792541767107,238.40248396507704
2023-09-08,341.706447029514,227.17281572374844,342.43055477909974,228.09068568626867,340.98233927992817,226.25494576122827
2023-09-11,349.2447731196421,216.19942399991183,349.9848552834896,217.07295702617415,348.5046909557945,215.3258909736496
2023-09-12,294.97485030538974,185.5502369938781,295.59992945416144,186.29993492112612,294.3497711566179,184.8005390666301
2023-09-13,276.8132899978163,174.72531231593902,277.3998831107593,175.43127317378125,276.2266968848732,174.01935145809685
2023-09-14,290.3393394657693,191.10591395231242,290.9545955358387,191.8780590591905,289.7240833956998,190.33376884543438
2023-09-15,263.6015856876378,188.8249221598358,264.1601819700866,189.58785113825942,263.0429894051888,188.06199318141222
2023-09-18,279.8012710513383,195.12889456068766,280.3941959741001,195.91729413467027,279.2083461285763,194.34049498670507
2023-09-19,287.94758406626966,200.20558640276002,288.55777178414684,201.01449786297323,287.33739634839236,199.39667494254684
2023-09-20,341.6980312558715,215.69094900363967,342.42212117164996,216.5624275854726,340.97394134009295,214.81947042180678
2023-09-21,313.3878020540288,226.259764801829,314.0518999604793,227.1739456697152,312.72370414757813,225.34558393394283
2023-09-22,332.76635936692435,212.4593347816872,333.4715222390729,213.3177563363607,332.0611964947757,211.60091322701373
2023-09-25,335.8455788174433,203.6690557407479,336.55726684206167,204.4919610164681,335.1338907928248,202.84615046502773
2023-09-26,336.12952618729776,185.1510731721011,336.84181592280794,185.89915831623082,335.4172364517874,184.40298802797142
2023-09-27,324.5138215835357,173.4214401711696,325.2014965604026,174.1221328587299,323.8261466066686,172.72074748360933
2023-09-28,321.3696040027621,184.28129542863562,322.0506160900745,185.0258663192564,320.6885919154496,183.53672453801488
2023-09-29,415.85275070888014,195.97404133879516,416.7339813736583,196.7658556472348,414.97152004410174,195.1822270303556
