Date,LONN.SE_0,SIKA.SE_0
2023-08-24,501.00964312637996,267.1635335543505
2023-08-25,486.65728916555315,294.74672518896585
2023-08-28,473.2727538819451,288.804299484866
2023-08-29,448.4090063229485,259.80779958297404
2023-08-30,412.4031242931381,219.55215888328505
2023-08-31,431.107516683833,234.3113926712045
2023-09-01,431.26993297434944,242.55032093502038
2023-09-04,417.2104297537147,252.60854023438782
2023-09-05,454.2709582132653,281.97111127800775
2023-09-06,432.9292521157617,268.9374859939373
2023-09-07,472.43201973214593,270.7409215935422
2023-09-08,512.2982253496901,246.61477148775893
2023-09-11,565.8523914776065,262.0409716485615
2023-09-12,627.1453973894155,264.20491771836885
2023-09-13,655.3236796392578,238.2472317107074
2023-09-14,590.8877876458558,231.67939906384203
2023-09-15,602.8909045795527,232.3473355040882
2023-09-18,627.8285016913361,234.14409874017076
2023-09-19,689.8824742072873,257.79931163190923
2023-09-20,725.9030908071996,239.2393567176962
2023-09-21,757.4520123071354,224.407643722038
2023-09-22,752.4062187650323,221.90074008556084
2023-09-25,793.2291572267362,211.45342148586462
2023-09-26,700.8752941927241,209.6474190426549
2023-09-27,666.7289751135842,213.71342894780258
2023-09-28,709.2642057595516,227.72213819233542
2023-09-29,683.4900270755129,207.5443118902737
2023-10-02,703.4194401952158,211.43890390779137
2023-10-03,691.1182227385341,209.98008448554032
2023-10-04,713.1923015520576,206.15729862801984
2023-10-05,681.3950000694418,206.33717609123448
2023-10-06,739.276146711017,212.15644649907495
2023-10-09,795.3175748369595,221.02058352191895
2023-10-10,808.8807235052946,225.44674211095065
2023-10-11,839.6633125908432,216.94359076864288
2023-10-12,875.8262755006243,215.074886934763
2023-10-13,911.19533849687,205.67267976807673
2023-10-16,922.6037045213508,205.57595323273193
2023-10-17,885.1805726334567,179.11223122828207
2023-10-18,864.1674077679785,191.5948184235103
2023-10-19,809.5406625251775,177.98236431332458
2023-10-20,790.4142446769748,180.06302678403517
2023-10-23,719.6310070659212,171.13054301492653
2023-10-24,734.7650576352263,173.55102049630779
2023-10-25,777.2337618622547,165.8659276782769
2023-10-26,798.2974553531699,178.37176215710608
2023-10-27,809.9318415824318,161.70070499235132
2023-10-30,822.754799365555,161.63504953661246
2023-10-31,803.1070309373611,156.1168744527561
2023-11-01,770.447921430401,168.9947333817357
2023-11-02,853.0897807894662,171.80541956052662
2023-11-03,804.308334190855,161.796692785266
2023-11-06,786.488280043369,170.90129220313634
2023-11-07,859.8738488500538,178.03009772005996
2023-11-08,818.97833146272,181.50150856802406
2023-11-09,891.523885657432,196.51942302611315
2023-11-10,903.4730689001705,186.36846544312496
2023-11-13,835.2682920882239,188.60064991903292
2023-11-14,740.940571203013,172.07770155324653
2023-11-15,691.8733514085059,166.77996471080863
2023-11-16,747.8882085723612,169.73631189893874
2023-11-17,830.9408962110344,186.69571174212763
2023-11-20,884.8879520043702,195.08749213669097
2023-11-21,884.1339524806682,200.75049024498958
2023-11-22,870.0268454633483,208.11503034111757
2023-11-23,858.9751235808639,203.47852784536585
2023-11-24,866.7468528673172,195.40155940428053
2023-11-27,918.5023623632602,212.69489982551386
2023-11-28,915.1431249567557,211.07395755931685
2023-11-29,1054.0196788482892,205.92759535062606
2023-11-30,977.4982828604685,189.5162481934135
2023-12-01,924.7709721443937,195.02398565196796
2023-12-04,895.8205184788017,193.37245090259418
2023-12-05,833.1050746107684,185.42480551028933
2023-12-06,923.6942134163337,188.09985403518502
2023-12-07,1015.0034140293538,190.15476323994366
2023-12-08,1033.0436581486229,186.03993662198778
2023-12-11,1023.2030646689458,191.40064592963816
2023-12-12,1061.5820140939434,190.7554568719192
2023-12-13,990.8734994163393,186.26106178661314
2023-12-14,1005.5466011864019,179.54333234085496
2023-12-15,988.0944959645126,175.53195733122936
2023-12-18,933.4479907207207,163.40138208363695
2023-12-19,946.3596286486169,164.84996029637193
2023-12-20,935.7729582338513,175.97162796859834
2023-12-21,1005.9925620231515,173.68305708756805
2023-12-22,1059.2483481758468,168.95317684009026
2023-12-27,1018.3636405098002,164.77905889309403
2023-12-28,903.5374796186446,160.33120716493517
2024-01-03,951.4223658938389,170.7474115573897
2024-01-04,923.4865029922212,168.07051935625134
2024-01-05,918.6351096421395,168.21759547648745
2024-01-08,914.9556628837116,167.72243808553796
2024-01-09,950.8038409062224,157.32694948456694
2024-01-10,951.3220496247437,149.68684412855782
2024-01-11,953.8069050233437,145.83459132567637
2024-01-12,995.6699923587472,150.0791060310904
2024-01-15,983.0173381020326,152.4488610913562
2024-01-16,1026.5816465650855,155.94623335237654
2024-01-17,1131.1482478647815,171.81030969377736
2024-01-18,1133.1565862049697,179.72117818853164
2024-01-19,1089.7899758595192,178.38223613332437
2024-01-22,1136.2626541250454,178.66213768967427
2024-01-23,1160.0366380276996,178.1484045724038
2024-01-24,1206.4355697113458,181.8960616255763
2024-01-25,1150.7103808163888,182.7893222380828
2024-01-26,1206.1896624246515,184.4643206258997
2024-01-29,1243.364585689515,186.45292219832822
2024-01-30,1268.3450915636295,182.89247526185798
2024-01-31,1301.864825744482,196.83170138272615
2024-02-01,1289.797202274227,190.7823204445328
2024-02-02,1322.7747456009938,196.01000112192156
2024-02-05,1338.7275129532472,195.7168659878419
2024-02-06,1279.1124814789691,202.91914591935213
2024-02-07,1238.573425256142,208.24802022489678
2024-02-08,1175.7789884222407,204.30358165498168
2024-02-09,1164.743432648828,202.42587484806594
2024-02-12,1141.6115576438815,203.12594345685406
2024-02-13,1171.470842531617,207.49280762752278
2024-02-14,1092.1682070322734,208.60276161410496
