Date,LONN.SE,SIKA.SE
2023-08-29,464.9772786884823,244.57835364534037
2023-08-30,473.9296755035897,249.40191838426045
2023-08-31,477.9714335381044,250.95217182385906
2023-09-01,473.3738623128955,245.16872759248326
2023-09-04,471.71092051021316,247.789094751098
2023-09-05,473.35348086539074,252.42428786504007
2023-09-06,457.1776179361754,248.3582680706144
2023-09-07,441.11905900918,248.20565276898583
2023-09-08,437.3253278401767,242.61412877349224
2023-09-11,437.41676509408893,242.7799922045953
2023-09-12,437.56613839440337,241.6152159067605
2023-09-13,436.6353719083067,245.649576162099
2023-09-14,419.21903666383344,241.01663270099263
2023-09-15,429.5467882628791,237.40986246167208
2023-09-18,429.1514853504861,229.95580629606948
2023-09-19,412.4484206815477,224.62729051989794
2023-09-20,402.5217140778848,221.64896197216973
2023-09-21,408.3402999473122,219.615928718367
2023-09-22,406.82463582250756,222.96395905579246
2023-09-25,399.01082112857,213.86661836398986
2023-09-26,392.8396666465396,211.24310236567342
2023-09-27,391.8433308177239,210.40744630633137
2023-09-28,405.42174771163815,209.3221277573491
2023-09-29,418.207201328333,211.64300692499202
2023-10-02,416.5685093704663,204.0165206773908
2023-10-03,411.23810892451775,205.96929056097002
2023-10-04,410.47386299622354,207.20501219868203
2023-10-05,400.6573647280771,206.00188831431484
2023-10-06,392.3564976047488,211.09211662994798
2023-10-09,409.1365266761081,213.88219669040018
2023-10-10,400.5690035472412,209.6441797408404
2023-10-11,396.23307239876056,210.9531564043306
2023-10-12,392.1134675348801,211.00580105773096
2023-10-13,402.0645125829353,206.71527800953348
2023-10-16,401.5197844469184,204.78148411117397
2023-10-17,399.8120642795053,206.00688039351706
2023-10-18,392.7298722751715,200.3629993405152
2023-10-19,388.43172241085364,200.63084419579016
2023-10-20,390.886115546607,199.9259969117773
2023-10-23,386.6568149534838,198.06311288465804
2023-10-24,384.06953678919916,194.41480197648607
2023-10-25,366.9471311833731,190.3863637199904
2023-10-26,353.6408145563974,189.0512563293456
2023-10-27,358.0508859654534,187.57544913157258
2023-10-30,364.57988231000655,182.41853644090543
2023-10-31,368.43716915037146,185.4099955566488
2023-11-01,351.7944805469605,179.92258674439495
2023-11-02,353.6539061238505,181.8309765917191
2023-11-03,359.1979429042439,183.8516368381556
2023-11-06,352.2656057079911,182.19688942115985
2023-11-07,360.2582186472102,184.855995221044
2023-11-08,362.0727937175709,187.1378802296894
2023-11-09,369.53982463257523,191.35880655917975
2023-11-10,366.83161648762433,185.38193325816707
2023-11-13,388.110143965372,189.2860887214367
2023-11-14,380.9565928217122,187.91835180089902
2023-11-15,387.34962142938446,188.9810464394762
2023-11-16,386.4160929049911,185.6455229382707
2023-11-17,378.25986781650397,187.33409386994774
2023-11-20,368.8949430417161,186.43933731866497
2023-11-21,371.1749514927581,180.3902242605228
2023-11-22,378.9016065235814,180.64178878036395
2023-11-23,371.8816700844816,176.9574769747741
2023-11-24,373.7335127644025,178.80071642848097
2023-11-27,372.00491380391406,178.24006460026558
2023-11-28,381.03375314915087,177.92120983853502
2023-11-29,377.9639554019376,175.77569798399912
2023-11-30,373.52681635527193,174.39319367171066
2023-12-01,373.81080907520186,171.61345171622185
2023-12-04,385.32962511809546,174.70832535455318
2023-12-05,385.9177245325562,176.83977367241815
2023-12-06,396.2801751235143,178.96671921965736
2023-12-07,410.73423258090355,175.94777660047777
2023-12-08,413.01380006181193,173.73659474517623
2023-12-11,417.31794071257565,171.84463896067297
2023-12-12,417.1762009250857,172.19818050000163
2023-12-13,406.754938729402,169.61591668901275
2023-12-14,414.3896578611207,169.83013507113807
2023-12-15,408.2107670957815,169.0947824569459
2023-12-18,414.8691418902739,166.71840162054932
2023-12-19,436.9706905034586,169.26523188674904
2023-12-20,433.85122389090964,170.12951758340986
2023-12-21,433.7184140538259,172.59490427925843
2023-12-22,424.39089731611904,172.09479435223938
2023-12-27,420.7118294077354,172.92937112304608
2023-12-28,426.7582992550022,171.9520993359138
2024-01-03,426.2968706971447,167.30551016186578
2024-01-04,435.3105397751119,165.22295424953424
2024-01-05,438.7429154355977,165.08108051878227
2024-01-08,426.4659414080872,168.20074777385693
2024-01-09,424.73725665859655,167.3669817176972
2024-01-10,409.98171189293953,163.8474644973342
2024-01-11,403.0901482772385,166.93088230837057
2024-01-12,404.8363786534453,164.357881958016
2024-01-15,398.9181524715318,166.56526234841797
2024-01-16,398.19125794331194,173.54661037911214
2024-01-17,399.5748830638102,172.88151237876178
2024-01-18,409.523707956138,171.80344479024308
2024-01-19,410.24857911644557,172.7631380022874
2024-01-22,415.3681248940815,169.95454351903948
2024-01-23,421.41046771213564,168.7504408479286
2024-01-24,419.68659274535423,169.63505411400035
2024-01-25,425.6986645648418,170.5394948378991
2024-01-26,426.42845399326546,170.786581564596
2024-01-29,445.5614016531662,174.89530541646656
2024-01-30,447.9171754156174,174.89690319175816
2024-01-31,451.79551546356004,174.70528835046693
2024-02-01,453.15329036471564,173.83345098550527
2024-02-02,441.40958760792574,171.0584186562528
2024-02-05,433.11052165963287,164.73162062374678
2024-02-06,429.97665295589746,165.92794712031434
2024-02-07,418.5778745593491,162.58600293984762
2024-02-08,423.4480267585087,165.26640362188888
2024-02-09,431.77201227073436,168.69357573257935
2024-02-12,435.98385329652484,167.7221094163741
2024-02-13,425.49876700894606,167.47713828976805
2024-02-14,427.48275915491837,169.4587762866664
2024-02-15,429.6266001263209,166.65728402438768
2024-02-16,438.7270255923683,165.95660393872726
2024-02-19,436.4881984736739,167.98466057248135
2024-02-20,422.49782043521344,168.3455548743151
