Date,LONN.SW,SIKA.SW
2023-08-10,479.75073297439894,263.7971433242467
2023-08-11,475.6509649136297,260.42342422549666
2023-08-14,478.0421756427418,267.51665962908
2023-08-15,470.22464293481505,264.96406764801674
2023-08-16,469.20904689546336,269.0865520543489
2023-08-17,459.5206956548002,253.4414260627199
2023-08-18,454.5158703127211,251.26036287170544
2023-08-21,453.3732877182576,256.04866649741416
2023-08-22,446.50447791093677,250.98601385437414
2023-08-23,437.6159014006119,248.54468751928383
2023-08-24,441.96444941102044,249.23904010536586
2023-08-25,456.23565271535364,253.31475617105033
2023-08-28,464.091121893654,251.7054017618072
2023-08-29,471.77606196728107,253.07003327107392
2023-08-30,479.66133746116253,256.1360658343453
2023-08-31,487.38900883948435,259.81534151365463
2023-09-01,490.53601045117694,260.66886126620267
2023-09-04,504.0603311404872,268.01110465606786
2023-09-05,519.9807237454796,278.68322601878253
2023-09-06,525.5625848790477,285.136570030009
2023-09-07,524.8809461078508,286.62825008360943
2023-09-08,530.1978746735819,291.42192873514773
2023-09-11,520.1551238695876,290.8530146113507
2023-09-12,529.5368786766613,302.687020848718
2023-09-13,526.3342023222899,299.7600712308927
2023-09-14,515.6672275279847,293.8569520292248
2023-09-15,521.0062763718943,294.15439287523026
2023-09-18,525.8687069367955,294.8083800843402
2023-09-19,526.6293267507591,293.0615049085962
2023-09-20,519.0883668463011,295.37005044551825
2023-09-21,502.62620102783023,286.745713944056
2023-09-22,487.9133561942213,284.9161152201321
2023-09-25,498.27568224259306,282.8445066109481
2023-09-26,509.6983320673707,279.8003773340165
2023-09-27,510.0484316806356,283.13687447598556
2023-09-28,519.3455040068034,286.8258455703531
2023-09-29,504.1556678138962,282.9079910331825
2023-10-02,508.2744896815597,286.1394773849307
2023-10-03,492.0972965722054,286.9512146339359
2023-10-04,504.09202541898276,295.81631728464487
2023-10-05,495.012127434388,293.2337878938786
2023-10-06,487.57894524916344,289.6706394357303
2023-10-09,492.8845969371771,301.14720648565833
2023-10-10,490.7851170128781,290.68687175885054
2023-10-11,484.1296466704383,292.01009248345747
2023-10-12,474.9265723905857,293.0080836964724
2023-10-13,468.08049281446654,297.0673293142184
2023-10-16,478.1196958179407,296.4643049751438
2023-10-17,492.4948813284688,302.1001070568898
2023-10-18,507.06603209835396,316.8064211996325
2023-10-19,515.0795450751473,324.35434550249056
2023-10-20,508.5916807372292,313.165600817283
2023-10-23,508.7176677419195,316.250340339735
2023-10-24,493.57336907989685,301.28870411803103
2023-10-25,508.4064683447977,299.9288811699235
2023-10-26,515.2622487032454,298.79673407287623
2023-10-27,511.62215333386047,301.8852959546051
2023-10-30,515.9962397423385,295.93504447499976
2023-10-31,505.3068007305785,288.0547722542689
2023-11-01,502.7680774701091,283.3005128872481
2023-11-02,511.8838576010321,287.9198173232716
2023-11-03,508.3157458693439,283.6066614970494
2023-11-06,516.9183207118375,302.9020681425627
2023-11-07,513.5752934104513,303.7150402623209
2023-11-08,526.5572304891441,313.79666507447956
2023-11-09,513.3509613591755,307.6887452243163
2023-11-10,492.1488222713067,291.11571748481543
2023-11-13,484.65801849026803,286.2631638115951
2023-11-14,481.31828164769576,290.11373461284575
2023-11-15,491.3677697875859,294.6185036926017
2023-11-16,496.8061220457632,296.6400577780575
2023-11-17,486.5019245890649,294.3401048446106
2023-11-20,488.0612175886477,285.88005463357234
2023-11-21,490.1477177551037,287.0266963316073
2023-11-22,482.26402498312314,287.53788669312263
2023-11-23,471.1396004798685,285.6025093818397
2023-11-24,479.1163401889651,279.5968873770823
2023-11-27,478.52242421465047,287.8586520724895
2023-11-28,465.6978415177096,280.6854459849687
2023-11-29,449.940498920968,279.4163852318154
2023-11-30,457.4617338096924,282.5183827780493
2023-12-01,459.6420512616539,282.8458688808911
2023-12-04,448.14816165879444,275.2544325139754
2023-12-05,461.9969221230889,284.98432145575765
2023-12-06,456.88791853031523,285.2584526768824
2023-12-07,459.11988763707035,281.99463998160724
2023-12-08,447.0432223503346,283.90992639873275
2023-12-11,441.39029079571293,288.11807931171893
2023-12-12,429.81798459900295,289.6213658394109
2023-12-13,424.6612007638013,279.98155041092076
2023-12-14,415.5215387655708,279.52760505732795
2023-12-15,425.25915076410735,282.12316554012335
2023-12-18,426.7157032317584,278.8567456108603
2023-12-19,415.7949896573453,276.0593867328872
2023-12-20,416.2037421510732,281.6948032473569
2023-12-21,437.34099009182484,296.40324740505406
2023-12-22,437.56630001692764,298.4264499439856
2023-12-27,428.72633497532735,283.01107611608893
2023-12-28,423.01756689141087,281.67387779317727
2024-01-03,411.39258448795164,276.13672147767613
2024-01-04,422.69312402689786,282.9354640978653
2024-01-05,429.4458264647784,282.8959050210923
2024-01-08,440.80074101762267,291.2630925580251
2024-01-09,437.73971288875595,282.37750119308896
2024-01-10,431.82595470573284,285.01596569430063
2024-01-11,424.52530010120057,277.5423416669918
2024-01-12,422.9722595930588,279.5886876114547
2024-01-15,432.9361123911589,286.83375948151064
2024-01-16,441.5336399265039,293.269229382699
2024-01-17,450.2121128476224,294.70294129705945
2024-01-18,444.457407998689,291.3541862434229
2024-01-19,454.1257260101679,291.83530717765154
2024-01-22,450.8789183368908,285.60104267582403
2024-01-23,460.46119569762686,281.42048502868164
2024-01-24,477.9248021855177,290.0868530668483
2024-01-25,473.12940763092547,286.22250301820475
2024-01-26,490.935042212741,285.3039058767412
2024-01-29,479.14318297492616,278.48038675459173
2024-01-30,484.4149328218831,280.94457409161095
2024-01-31,499.1995466217019,281.9136125712881
2024-02-01,503.18640888264633,285.50342664589687
