"Date","Price","Open","High","Low","Change %"
"10/27/2023","0.987","1.020","1.041","0.987","-8.99%"
"10/26/2023","1.084","1.132","1.139","1.060","-1.99%"
"10/25/2023","1.106","1.050","1.106","1.035","2.88%"
"10/24/2023","1.075","1.098","1.098","1.042","-2.45%"
"10/23/2023","1.102","1.176","1.176","1.102","-3.08%"
"10/20/2023","1.137","1.171","1.171","1.124","-2.74%"
"10/19/2023","1.169","1.173","1.178","1.154","1.39%"
"10/18/2023","1.153","1.158","1.158","1.111","1.95%"
"10/17/2023","1.131","1.119","1.141","1.085","3.67%"
"10/16/2023","1.091","1.094","1.105","1.081","1.77%"
"10/13/2023","1.072","1.108","1.113","1.058","-3.60%"
"10/12/2023","1.112","1.054","1.112","1.033","4.12%"
"10/11/2023","1.068","1.094","1.094","1.016","-1.84%"
"10/10/2023","1.088","1.089","1.122","1.084","-0.64%"
"10/09/2023","1.095","1.129","1.165","1.073","-5.03%"
"10/06/2023","1.153","1.177","1.213","1.138","-1.87%"
"10/05/2023","1.175","1.153","1.175","1.128","1.38%"
"10/04/2023","1.159","1.132","1.159","1.082","0.43%"
"10/03/2023","1.154","1.132","1.154","1.064","-0.52%"
"10/02/2023","1.160","1.108","1.160","1.056","8.72%"
"09/29/2023","1.067","1.141","1.141","1.053","-7.46%"
"09/28/2023","1.153","1.104","1.153","1.075","7.16%"
"09/27/2023","1.076","1.063","1.076","1.032","1.61%"
"09/26/2023","1.059","1.119","1.127","1.025","-4.59%"
"09/25/2023","1.110","1.090","1.110","1.078","2.40%"
"09/22/2023","1.084","1.080","1.084","1.053","0.46%"
"09/21/2023","1.079","1.148","1.163","1.023","-2.35%"
"09/20/2023","1.105","1.123","1.128","1.087","-1.25%"
"09/19/2023","1.119","1.100","1.119","1.087","1.91%"
"09/18/2023","1.098","1.090","1.100","1.073","2.23%"
"09/15/2023","1.074","1.047","1.074","1.036","3.57%"
"09/14/2023","1.037","1.044","1.065","1.023","-2.08%"
"09/13/2023","1.059","1.110","1.123","1.052","-2.58%"
"09/12/2023","1.087","1.126","1.126","1.061","1.78%"
"09/11/2023","1.068","1.057","1.071","1.025","2.99%"
"09/08/2023","1.037","1.000","1.054","1.000","-3.36%"
"09/07/2023","1.073","1.042","1.073","1.013","5.30%"
"09/06/2023","1.019","0.982","1.024","0.977","3.45%"
"09/05/2023","0.985","0.976","0.990","0.961","-0.10%"
"09/04/2023","0.986","0.989","0.989","0.942","1.44%"
"09/01/2023","0.972","0.945","0.972","0.901","2.53%"
"08/31/2023","0.948","0.981","0.994","0.922","-1.86%"
"08/30/2023","0.966","0.989","0.997","0.955","1.90%"
"08/29/2023","0.948","0.954","0.974","0.932","-2.17%"
"08/28/2023","0.969","0.992","1.006","0.958","-5.00%"
"08/25/2023","1.020","1.020","1.020","0.964","2.93%"
"08/24/2023","0.991","0.955","0.991","0.937","2.48%"
"08/23/2023","0.967","1.041","1.041","0.946","-5.47%"
"08/22/2023","1.023","1.049","1.051","1.013","-6.06%"
"08/21/2023","1.089","1.036","1.089","0.996","5.63%"
"08/18/2023","1.031","1.055","1.055","0.996","-2.83%"
"08/17/2023","1.061","1.084","1.084","1.035","2.41%"
"08/16/2023","1.036","1.054","1.054","1.000","-2.91%"
"08/15/2023","1.067","1.049","1.086","1.030","1.72%"
"08/14/2023","1.049","1.049","1.049","1.023","-0.10%"
"08/11/2023","1.050","1.047","1.050","1.003","6.49%"
"08/10/2023","0.986","0.978","1.050","0.962","0.72%"
"08/09/2023","0.979","0.958","0.979","0.913","1.77%"
"08/08/2023","0.962","0.961","0.974","0.921","-6.42%"
"08/07/2023","1.028","1.028","1.046","0.999","1.28%"
"08/04/2023","1.015","1.056","1.064","0.996","0.20%"
"08/03/2023","1.013","0.990","1.019","0.986","-0.30%"
"08/02/2023","1.016","1.023","1.031","0.975","3.46%"
"07/31/2023","0.982","1.002","1.010","0.982","-3.25%"
"07/28/2023","1.015","1.065","1.065","0.982","4.00%"
"07/27/2023","0.976","0.992","0.992","0.922","-0.51%"
"07/26/2023","0.981","0.946","0.984","0.937","0.51%"
"07/25/2023","0.976","0.995","1.003","0.924","5.06%"
"07/24/2023","0.929","0.992","0.992","0.892","-4.13%"
"07/21/2023","0.969","0.948","0.969","0.931","-2.42%"
"07/20/2023","0.993","0.953","0.993","0.912","7.70%"
"07/19/2023","0.922","0.877","0.922","0.831","4.18%"
"07/18/2023","0.885","0.958","0.958","0.875","-7.43%"
"07/17/2023","0.956","1.001","1.001","0.929","-2.25%"
"07/14/2023","0.978","1.013","1.028","0.960","-3.65%"
"07/13/2023","1.015","1.036","1.036","0.962","-5.76%"
"07/12/2023","1.077","1.132","1.137","1.057","-7.31%"
"07/11/2023","1.162","1.112","1.162","1.094","3.01%"
"07/10/2023","1.128","1.114","1.153","1.099","2.64%"
"07/07/2023","1.099","1.091","1.104","1.018","6.39%"
"07/06/2023","1.033","0.978","1.065","0.955","8.74%"
"07/05/2023","0.950","0.933","0.951","0.879","-1.55%"
"07/04/2023","0.965","0.983","0.988","0.933","-1.03%"
"07/03/2023","0.975","0.992","0.992","0.900","-0.51%"
"06/30/2023","0.980","1.011","1.016","0.957","0.20%"
"06/29/2023","0.978","0.945","0.992","0.917","3.49%"
"06/28/2023","0.945","0.926","0.945","0.868","-0.84%"
"06/27/2023","0.953","0.911","0.953","0.871","7.08%"
"06/26/2023","0.890","0.970","0.970","0.883","-8.15%"
"06/23/2023","0.969","1.012","1.027","0.919","-7.18%"
"06/22/2023","1.044","0.980","1.049","0.928","3.57%"
"06/21/2023","1.008","1.014","1.018","0.921","6.44%"
"06/20/2023","0.947","1.022","1.066","0.942","-11.82%"
