"Date","Price","Open","High","Low","Change %"
"10/27/2023","1.136","1.133","1.158","1.125","-2.99%"
"10/26/2023","1.171","1.216","1.223","1.159","-2.66%"
"10/25/2023","1.203","1.117","1.203","1.115","5.53%"
"10/24/2023","1.140","1.148","1.148","1.092","-2.23%"
"10/23/2023","1.166","1.239","1.239","1.166","-3.64%"
"10/20/2023","1.210","1.214","1.234","1.180","-0.74%"
"10/19/2023","1.219","1.224","1.235","1.202","0.41%"
"10/18/2023","1.214","1.207","1.214","1.163","2.53%"
"10/17/2023","1.184","1.199","1.206","1.155","2.87%"
"10/16/2023","1.151","1.158","1.167","1.134","2.77%"
"10/13/2023","1.120","1.165","1.168","1.102","-2.78%"
"10/12/2023","1.152","1.117","1.152","1.083","5.69%"
"10/11/2023","1.090","1.169","1.169","1.053","-5.22%"
"10/10/2023","1.150","1.184","1.203","1.150","-1.20%"
"10/09/2023","1.164","1.171","1.245","1.132","-2.27%"
"10/06/2023","1.191","1.249","1.271","1.191","-4.49%"
"10/05/2023","1.247","1.204","1.249","1.187","1.96%"
"10/04/2023","1.223","1.240","1.242","1.164","-1.13%"
"10/03/2023","1.237","1.197","1.237","1.134","3.60%"
"10/02/2023","1.194","1.182","1.194","1.134","3.02%"
"09/29/2023","1.159","1.186","1.193","1.120","-2.52%"
"09/28/2023","1.189","1.159","1.192","1.130","4.48%"
"09/27/2023","1.138","1.137","1.160","1.099","0.53%"
"09/26/2023","1.132","1.190","1.202","1.090","-4.15%"
"09/25/2023","1.181","1.159","1.186","1.140","2.70%"
"09/22/2023","1.150","1.120","1.153","1.096","2.68%"
"09/21/2023","1.120","1.171","1.120","1.043","-0.80%"
"09/20/2023","1.129","1.145","1.168","1.093","-1.40%"
"09/19/2023","1.145","1.126","1.145","1.068","-0.78%"
"09/18/2023","1.154","1.131","1.154","1.051","3.31%"
"09/15/2023","1.117","1.080","1.117","1.047","5.08%"
"09/14/2023","1.063","1.078","1.107","1.042","-2.83%"
"09/13/2023","1.094","1.156","1.166","1.084","-2.93%"
"09/12/2023","1.127","1.167","1.170","1.117","0.90%"
"09/11/2023","1.117","1.082","1.128","1.070","6.08%"
"09/08/2023","1.053","1.024","1.065","1.016","-0.38%"
"09/07/2023","1.057","1.060","1.060","1.013","2.62%"
"09/06/2023","1.030","1.006","1.034","0.983","4.78%"
"09/05/2023","0.983","0.993","1.000","0.958","-0.51%"
"09/04/2023","0.988","0.978","0.997","0.943","2.70%"
"09/01/2023","0.962","0.954","0.964","0.904","3.44%"
"08/31/2023","0.930","0.978","0.990","0.923","-3.53%"
"08/30/2023","0.964","0.973","0.992","0.952","1.80%"
"08/29/2023","0.947","0.952","0.973","0.934","-2.27%"
"08/28/2023","0.969","0.993","1.001","0.955","-2.42%"
"08/25/2023","0.993","1.020","1.020","0.970","-0.80%"
"08/24/2023","1.001","0.949","1.004","0.942","3.20%"
"08/23/2023","0.970","1.020","1.020","0.941","-4.53%"
"08/22/2023","1.016","1.048","1.050","1.006","-4.51%"
"08/21/2023","1.064","1.033","1.064","0.994","3.91%"
"08/18/2023","1.024","1.073","1.073","0.992","-4.74%"
"08/17/2023","1.075","1.093","1.093","1.038","6.12%"
"08/16/2023","1.013","1.028","1.041","1.006","-2.50%"
"08/15/2023","1.039","1.089","1.089","1.037","-2.99%"
"08/14/2023","1.071","1.103","1.109","1.054","-1.02%"
"08/11/2023","1.082","1.087","1.087","1.050","5.97%"
"08/10/2023","1.021","1.035","1.035","0.996","2.20%"
"08/09/2023","0.999","0.976","1.006","0.955","1.83%"
"08/08/2023","0.981","1.043","1.054","0.966","-8.23%"
