"Date","Price","Open","High","Low","Change %"
"09/19/2023","1.740","1.650","1.870","1.620","-4.92%"
"09/18/2023","1.830","1.470","1.870","1.470","9.58%"
"09/17/2023","1.670","1.480","1.710","1.480","0.00%"
"09/16/2023","1.670","1.690","1.690","1.650","-8.74%"
"09/15/2023","1.830","1.650","1.860","1.600","10.91%"
"09/14/2023","1.650","1.600","1.880","1.600","-7.30%"
"09/13/2023","1.780","1.600","1.850","1.590","1.14%"
"09/12/2023","1.760","1.600","1.770","1.590","-0.56%"
"09/11/2023","1.770","1.600","1.800","1.580","5.36%"
"09/10/2023","1.680","1.670","1.760","1.600","0.00%"
"09/09/2023","1.680","1.670","1.680","1.600","0.60%"
"09/08/2023","1.670","1.600","1.780","1.570","0.00%"
"09/07/2023","1.670","1.600","1.770","1.560","0.00%"
"09/06/2023","1.670","1.600","1.780","1.560","-4.02%"
"09/05/2023","1.740","1.600","1.780","1.550","4.19%"
"09/04/2023","1.670","1.600","1.810","1.540","-0.60%"
"09/03/2023","1.680","1.670","1.720","1.600","5.00%"
"09/02/2023","1.600","1.600","1.600","1.600","-9.60%"
"09/01/2023","1.770","1.600","1.870","1.530","1.14%"
"08/31/2023","1.750","1.600","1.790","1.600","0.00%"
"08/30/2023","1.750","1.600","1.780","1.520","4.79%"
"08/29/2023","1.670","1.600","1.780","1.510","0.00%"
"08/28/2023","1.670","1.600","1.760","1.500","4.37%"
"08/27/2023","1.600","1.670","1.750","1.600","-4.19%"
"08/26/2023","1.670","1.750","1.750","1.600","0.00%"
"08/25/2023","1.670","1.600","1.800","1.530","0.00%"
"08/24/2023","1.670","1.600","1.720","1.490","0.00%"
"08/23/2023","1.670","1.600","1.780","1.600","-2.91%"
"08/22/2023","1.720","1.600","1.770","1.600","2.99%"
"08/21/2023","1.670","1.600","1.730","1.600","1.21%"
"08/20/2023","1.650","1.670","1.710","1.600","3.12%"
"08/19/2023","1.600","1.710","1.710","1.600","-4.76%"
"08/18/2023","1.680","1.600","1.790","1.600","0.60%"
"08/17/2023","1.670","1.600","1.730","1.600","1.21%"
"08/16/2023","1.650","1.600","1.710","1.600","0.00%"
"08/15/2023","1.650","1.600","1.730","1.600","0.00%"
"08/14/2023","1.650","1.600","1.790","1.600","-1.20%"
"08/13/2023","1.670","1.650","1.690","1.600","0.00%"
"08/12/2023","1.670","1.650","1.670","1.600","1.21%"
"08/11/2023","1.650","1.600","1.780","1.600","0.00%"
"08/10/2023","1.650","1.600","1.760","1.600","0.00%"
"08/09/2023","1.650","1.600","1.750","1.600","0.00%"
"08/08/2023","1.650","1.600","1.710","1.600","-1.20%"
"08/07/2023","1.670","1.600","1.770","1.600","0.00%"
"08/06/2023","1.670","1.680","1.690","1.600","4.37%"
"08/05/2023","1.600","1.600","1.600","1.600","-4.19%"
"08/04/2023","1.670","1.600","1.760","1.600","0.00%"
"08/03/2023","1.670","1.600","1.770","1.600","0.00%"
"08/02/2023","1.670","1.600","1.760","1.600","0.00%"
"08/01/2023","1.670","1.600","1.750","1.600","0.00%"
"07/31/2023","1.670","1.600","1.720","1.600","0.00%"
"07/30/2023","1.670","1.680","1.690","1.600","4.37%"
"07/29/2023","1.600","1.600","1.600","1.600","-5.88%"
"07/28/2023","1.700","1.600","1.730","1.600","2.41%"
"07/27/2023","1.660","1.600","1.760","1.600","-1.19%"
"07/26/2023","1.680","1.600","1.730","1.600","0.00%"
"07/25/2023","1.680","1.600","1.750","1.600","-0.59%"
"07/24/2023","1.690","1.600","1.750","1.600","5.63%"
"07/23/2023","1.600","1.650","1.680","1.600","0.00%"
"07/22/2023","1.600","1.650","1.650","1.600","-5.88%"
"07/21/2023","1.700","1.600","1.770","1.600","3.03%"
"07/20/2023","1.650","1.600","1.810","1.600","0.00%"
"07/19/2023","1.650","1.600","1.730","1.600","0.00%"
"07/18/2023","1.650","1.600","1.780","1.600","0.00%"
"07/17/2023","1.650","1.600","1.780","1.600","0.00%"
"07/16/2023","1.650","1.670","1.680","1.600","3.12%"
"07/15/2023","1.600","1.650","1.650","1.600","-3.03%"
"07/14/2023","1.650","1.600","1.770","1.600","0.00%"
"07/13/2023","1.650","1.600","1.700","1.600","0.00%"
"07/12/2023","1.650","1.600","1.700","1.600","0.00%"
"07/11/2023","1.650","1.600","1.750","1.600","1.23%"
"07/10/2023","1.630","1.650","1.710","1.600","-1.21%"
"07/09/2023","1.650","1.600","1.670","1.600","3.12%"
"07/08/2023","1.600","1.650","1.650","1.600","-3.03%"
"07/07/2023","1.650","1.600","1.770","1.600","0.00%"
"07/06/2023","1.650","1.600","1.780","1.600","0.00%"
"07/05/2023","1.650","1.600","1.760","1.600","0.00%"
"07/04/2023","1.650","1.600","1.750","1.600","0.00%"
"07/03/2023","1.650","1.670","1.750","1.570","3.12%"
"07/02/2023","1.600","1.620","1.620","1.600","-3.03%"
"07/01/2023","1.650","1.620","1.670","1.600","0.00%"
"06/30/2023","1.650","1.600","1.730","1.560","0.00%"
"06/29/2023","1.650","1.610","1.710","1.540","0.00%"
"06/28/2023","1.650","1.600","1.710","1.570","0.00%"
"06/27/2023","1.650","1.600","1.720","1.560","0.00%"
"06/26/2023","1.650","1.600","1.740","1.560","-1.20%"
"06/25/2023","1.670","1.580","1.680","1.580","0.00%"
"06/24/2023","1.670","1.600","1.680","1.600","0.00%"
"06/23/2023","1.670","1.600","1.810","1.550","-1.76%"
"06/22/2023","1.700","1.600","1.740","1.580","1.80%"
"06/21/2023","1.670","1.600","1.850","1.600","1.21%"
"06/20/2023","1.650","1.600","1.750","1.600","0.00%"
"06/19/2023","1.650","1.450","1.780","1.450","-1.20%"
"06/18/2023","1.670","1.650","1.680","1.650","15.17%"
"06/17/2023","1.450","1.650","1.680","1.450","-12.12%"
"06/16/2023","1.650","1.450","1.810","1.450","1.85%"
"06/15/2023","1.620","1.450","1.790","1.450","0.00%"
"06/14/2023","1.620","1.450","1.750","1.450","0.00%"
"06/13/2023","1.620","1.450","1.800","1.450","1.25%"
"06/12/2023","1.600","1.150","1.800","1.150","0.00%"
"06/11/2023","1.600","1.580","1.600","1.570","1.27%"
