"Date","Price","Open","High","Low","Change %"
"10/27/2023","1.082","1.067","1.115","1.067","-6.61%"
"10/26/2023","1.158","1.174","1.181","1.117","0.35%"
"10/25/2023","1.154","1.103","1.154","1.083","4.72%"
"10/24/2023","1.102","1.148","1.148","1.079","-3.76%"
"10/23/2023","1.145","1.234","1.234","1.145","-2.39%"
"10/20/2023","1.173","1.191","1.196","1.160","-1.51%"
"10/19/2023","1.191","1.198","1.209","1.174","0.93%"
"10/18/2023","1.180","1.208","1.208","1.144","1.37%"
"10/17/2023","1.164","1.145","1.180","1.120","3.56%"
"10/16/2023","1.124","1.111","1.146","1.109","2.09%"
"10/13/2023","1.101","1.147","1.150","1.082","-3.51%"
"10/12/2023","1.141","1.099","1.141","1.082","3.82%"
"10/11/2023","1.099","1.131","1.131","1.045","-2.40%"
"10/10/2023","1.126","1.127","1.156","1.118","-0.71%"
"10/09/2023","1.134","1.147","1.185","1.109","-3.98%"
"10/06/2023","1.181","1.203","1.233","1.181","-1.58%"
"10/05/2023","1.200","1.175","1.211","1.170","0.33%"
"10/04/2023","1.196","1.154","1.208","1.145","3.55%"
"10/03/2023","1.155","1.144","1.155","1.112","0.96%"
"10/02/2023","1.144","1.138","1.144","1.102","4.67%"
"09/29/2023","1.093","1.169","1.169","1.086","-7.37%"
"09/28/2023","1.180","1.133","1.180","1.101","7.18%"
"09/27/2023","1.101","1.078","1.101","1.049","2.71%"
"09/26/2023","1.072","1.131","1.139","1.039","-4.46%"
"09/25/2023","1.122","1.104","1.128","1.095","2.94%"
"09/22/2023","1.090","1.081","1.102","1.056","0.93%"
"09/21/2023","1.080","1.142","1.260","1.027","-1.73%"
"09/20/2023","1.099","1.127","1.137","1.084","-2.57%"
"09/19/2023","1.128","1.095","1.128","1.082","-0.18%"
"09/18/2023","1.130","1.093","1.135","1.071","5.41%"
"09/15/2023","1.072","1.048","1.074","1.010","4.08%"
"09/14/2023","1.030","1.045","1.090","1.015","-3.38%"
"09/13/2023","1.066","1.110","1.143","1.057","-2.29%"
"09/12/2023","1.091","1.129","1.129","1.076","1.49%"
"09/11/2023","1.075","1.076","1.079","1.035","3.76%"
"09/08/2023","1.036","1.007","1.061","1.007","-2.17%"
"09/07/2023","1.059","1.048","1.059","1.009","3.12%"
"09/06/2023","1.027","0.988","1.032","0.978","4.37%"
"09/05/2023","0.984","0.960","0.984","0.951","-0.61%"
"09/04/2023","0.990","0.958","0.990","0.922","3.02%"
"09/01/2023","0.961","0.923","0.961","0.879","3.00%"
"08/31/2023","0.933","0.958","0.970","0.898","-1.17%"
