"Date","Price","Open","High","Low","Change %"
"04/04/2023","1.245","1.319","1.333","1.175","-0.48%"
"04/03/2023","1.251","1.327","1.330","1.246","-1.34%"
"03/31/2023","1.268","1.291","1.319","1.257","-1.55%"
"03/30/2023","1.288","1.197","1.302","1.161","4.04%"
"03/29/2023","1.238","1.264","1.271","1.210","0.73%"
"03/28/2023","1.229","1.229","1.238","1.185","8.47%"
"03/27/2023","1.133","1.189","1.189","1.062","1.89%"
"03/24/2023","1.112","1.162","1.167","1.045","-3.05%"
"03/23/2023","1.147","1.147","1.207","1.140","-7.87%"
"03/22/2023","1.245","1.190","1.245","1.144","11.86%"
"03/21/2023","1.113","0.922","1.113","0.911","16.54%"
"03/20/2023","0.955","0.851","0.983","0.851","-1.55%"
"03/17/2023","0.970","1.041","1.098","0.864","-7.53%"
"03/16/2023","1.049","1.115","1.120","0.947","5.32%"
"03/15/2023","0.996","1.293","1.297","0.971","-21.51%"
"03/14/2023","1.269","1.122","1.269","0.993","9.78%"
"03/13/2023","1.156","1.429","1.429","1.053","-21.47%"
"03/10/2023","1.472","1.446","1.481","1.414","-3.98%"
"03/09/2023","1.533","1.559","1.559","1.533","-0.20%"
"03/08/2023","1.536","1.564","1.631","1.411","0.07%"
"03/07/2023","1.535","1.523","1.579","1.523","-0.20%"
"03/06/2023","1.538","1.418","1.557","1.418","6.14%"
"03/03/2023","1.449","1.467","1.481","1.438","-1.96%"
"03/02/2023","1.478","1.455","1.478","1.411","3.14%"
"03/01/2023","1.433","1.421","1.460","1.368","5.83%"
"02/28/2023","1.354","1.331","1.424","1.331","1.65%"
"02/27/2023","1.332","1.332","1.332","1.307","1.45%"
"02/24/2023","1.313","1.294","1.333","1.242","2.82%"
"02/23/2023","1.277","1.327","1.336","1.277","-2.22%"
"02/22/2023","1.306","1.324","1.340","1.306","-0.61%"
"02/21/2023","1.314","1.305","1.323","1.275","2.74%"
"02/20/2023","1.279","1.267","1.283","1.261","0.87%"
"02/17/2023","1.268","1.296","1.318","1.266","-0.63%"
"02/16/2023","1.276","1.288","1.288","1.243","-0.31%"
"02/15/2023","1.280","1.303","1.307","1.257","-0.08%"
"02/14/2023","1.281","1.247","1.295","1.225","2.64%"
"02/13/2023","1.248","1.242","1.266","1.233","0.97%"
"02/10/2023","1.236","1.212","1.238","1.180","6.46%"
"02/09/2023","1.161","1.184","1.186","1.128","-5.07%"
"02/08/2023","1.223","1.212","1.275","1.178","1.75%"
"02/07/2023","1.202","1.166","1.202","1.153","6.00%"
"02/06/2023","1.134","1.048","1.152","1.048","6.08%"
"02/03/2023","1.069","0.961","1.106","0.961","10.43%"
"02/02/2023","0.968","1.059","1.072","0.966","-13.73%"
"02/01/2023","1.122","1.094","1.122","1.091","-0.71%"
"01/31/2023","1.130","1.135","1.141","1.090","-1.31%"
"01/30/2023","1.145","1.107","1.145","1.054","4.95%"
"01/27/2023","1.091","1.120","1.120","1.064","-0.82%"
"01/26/2023","1.100","1.089","1.100","1.020","5.16%"
"01/25/2023","1.046","1.101","1.110","0.996","-0.38%"
"01/24/2023","1.050","1.122","1.122","1.050","-6.33%"
"01/23/2023","1.121","1.110","1.121","1.073","4.57%"
"01/20/2023","1.072","1.048","1.072","1.008","8.28%"
"01/19/2023","0.990","0.964","1.018","0.955","3.66%"
"01/18/2023","0.955","0.939","0.998","0.922","1.06%"
"01/17/2023","0.945","1.078","1.078","0.921","-4.74%"
"01/16/2023","0.992","0.996","1.036","0.981","1.64%"
"01/13/2023","0.976","0.985","0.985","0.922","-1.01%"
"01/12/2023","0.986","1.115","1.119","0.986","-16.58%"
"01/11/2023","1.182","1.164","1.182","1.118","1.37%"
"01/10/2023","1.166","1.304","1.304","1.166","0.34%"
"01/09/2023","1.162","1.303","1.303","1.162","-1.02%"
"01/06/2023","1.174","1.326","1.328","1.174","-8.85%"
"01/05/2023","1.288","1.237","1.310","1.237","5.49%"
"01/04/2023","1.221","1.333","1.333","1.216","-6.94%"
"01/03/2023","1.312","1.429","1.429","1.294","-9.08%"
"12/30/2022","1.443","1.377","1.443","1.377","4.41%"
"12/29/2022","1.382","1.517","1.517","1.382","-3.15%"
"12/28/2022","1.427","1.556","1.564","1.396","-2.93%"
"12/27/2022","1.470","1.435","1.481","1.435","2.51%"
"12/23/2022","1.434","1.407","1.438","1.359","5.05%"
"12/22/2022","1.365","1.338","1.406","1.338","2.48%"
"12/21/2022","1.332","1.273","1.351","1.271","5.13%"
"12/20/2022","1.267","1.198","1.267","1.198","8.20%"
"12/19/2022","1.171","1.123","1.171","1.113","3.35%"
"12/16/2022","1.133","1.105","1.157","1.105","6.09%"
"12/15/2022","1.068","0.991","1.081","0.961","7.66%"
"12/14/2022","0.992","1.012","1.016","0.969","-1.59%"
"12/13/2022","1.008","1.083","1.094","0.981","-4.27%"
"12/12/2022","1.053","1.029","1.053","1.005","3.24%"
"12/09/2022","1.020","0.937","1.020","0.924","10.75%"
"12/08/2022","0.921","0.908","0.934","0.895","0.11%"
"12/07/2022","0.920","0.866","0.940","0.866","3.14%"
"12/06/2022","0.892","0.990","0.990","0.892","-6.79%"
"12/05/2022","0.957","0.948","0.968","0.902","4.02%"
"12/02/2022","0.920","0.914","0.958","0.870","1.66%"
"12/01/2022","0.905","0.964","0.966","0.890","-6.22%"
"11/30/2022","0.965","0.963","0.987","0.925","5.81%"
"11/29/2022","0.912","0.880","0.927","0.864","-2.36%"
"11/28/2022","0.934","0.907","0.966","0.907","-2.20%"
"11/25/2022","0.955","0.841","0.955","0.841","14.23%"
"11/24/2022","0.836","0.824","0.849","0.794","-2.68%"
"11/23/2022","0.859","0.878","0.892","0.851","-0.12%"
"11/22/2022","0.860","0.873","0.873","0.837","3.86%"
"11/21/2022","0.828","0.809","0.870","0.809","1.10%"
"11/18/2022","0.819","0.830","0.880","0.796","-3.19%"
"11/17/2022","0.846","0.810","0.848","0.773","3.68%"
"11/16/2022","0.816","0.889","0.889","0.789","-1.21%"
"11/15/2022","0.826","0.863","0.884","0.818","-5.38%"
"11/14/2022","0.873","0.798","0.873","0.765","6.99%"
"11/11/2022","0.816","0.713","0.822","0.702","19.47%"
"11/10/2022","0.683","0.753","0.816","0.665","-9.78%"
"11/09/2022","0.757","0.795","0.811","0.743","-4.90%"
"11/08/2022","0.796","0.883","0.885","0.794","-6.24%"
"11/07/2022","0.849","0.872","0.903","0.824","-3.19%"
"11/04/2022","0.877","0.886","0.898","0.821","1.27%"
"11/03/2022","0.866","0.949","0.951","0.852","3.46%"
"11/02/2022","0.837","0.851","0.858","0.823","1.09%"
"11/01/2022","0.828","0.830","0.838","0.766","-2.36%"
"10/31/2022","0.848","0.829","0.854","0.803","4.69%"
"10/28/2022","0.810","0.738","0.855","0.726","10.66%"
